timestamp,light,moderate,very,data source
2025-11-21T11:13:40Z,0,1,0,Fitbit App
2025-11-21T11:14:40Z,0,0,1,Fitbit App
2025-11-21T11:15:40Z,0,1,0,Fitbit App
2025-11-21T11:16:40Z,1,0,0,Fitbit App
2025-11-21T11:17:14Z,0,0,1,Fitbit App
2025-11-21T11:18:14Z,0,0,1,Fitbit App
2025-11-21T11:19:14Z,0,1,0,Fitbit App
2025-11-21T11:20:14Z,0,1,0,Fitbit App
2025-11-21T11:21:14Z,0,0,1,Fitbit App
2025-11-21T11:22:14Z,0,0,1,Fitbit App
2025-11-21T11:23:14Z,1,0,0,Fitbit App
2025-11-21T15:00:14Z,1,0,0,Fitbit App
2025-11-21T15:01:14Z,1,0,0,Fitbit App
2025-11-21T15:02:14Z,1,0,0,Fitbit App
2025-11-21T15:03:14Z,1,0,0,Fitbit App
2025-11-21T15:04:14Z,1,0,0,Fitbit App
2025-11-21T15:16:14Z,1,0,0,Fitbit App
2025-11-21T15:17:14Z,1,0,0,Fitbit App
2025-11-21T15:18:14Z,1,0,0,Fitbit App
2025-11-21T15:19:14Z,1,0,0,Fitbit App
2025-11-21T15:20:14Z,1,0,0,Fitbit App
2025-11-21T15:21:14Z,1,0,0,Fitbit App
2025-11-21T15:22:14Z,1,0,0,Fitbit App
2025-11-21T15:23:14Z,1,0,0,Fitbit App
2025-11-21T15:24:14Z,1,0,0,Fitbit App
2025-11-21T15:25:14Z,1,0,0,Fitbit App
2025-11-21T20:21:14Z,1,0,0,Fitbit App
2025-11-21T20:22:14Z,1,0,0,Fitbit App
2025-11-21T20:23:14Z,1,0,0,Fitbit App
2025-11-21T20:24:14Z,1,0,0,Fitbit App
2025-11-21T20:25:14Z,1,0,0,Fitbit App
2025-11-22T11:03:14Z,1,0,0,Fitbit App
2025-11-22T11:04:14Z,1,0,0,Fitbit App
2025-11-22T11:05:14Z,1,0,0,Fitbit App
2025-11-22T11:06:14Z,1,0,0,Fitbit App
2025-11-22T11:13:14Z,1,0,0,Fitbit App
2025-11-22T11:14:14Z,1,0,0,Fitbit App
2025-11-22T11:15:14Z,1,0,0,Fitbit App
2025-11-22T11:21:14Z,1,0,0,Fitbit App
2025-11-22T11:22:14Z,1,0,0,Fitbit App
2025-11-22T11:23:14Z,1,0,0,Fitbit App
2025-11-22T11:24:14Z,1,0,0,Fitbit App
2025-11-22T11:25:14Z,1,0,0,Fitbit App
2025-11-22T11:26:14Z,1,0,0,Fitbit App
2025-11-22T11:27:14Z,1,0,0,Fitbit App
2025-11-22T11:28:14Z,1,0,0,Fitbit App
2025-11-22T11:29:14Z,1,0,0,Fitbit App
2025-11-22T11:30:14Z,1,0,0,Fitbit App
2025-11-22T11:31:14Z,1,0,0,Fitbit App
2025-11-22T11:38:14Z,1,0,0,Fitbit App
2025-11-22T11:39:14Z,1,0,0,Fitbit App
2025-11-22T17:46:14Z,1,0,0,Fitbit App
2025-11-22T17:47:14Z,1,0,0,Fitbit App
