timestamp,distance,data source
2025-09-04T09:51:48Z,1.34,Fitbit App
2025-09-04T09:52:48Z,10.74,Fitbit App
2025-09-04T09:53:48Z,1.34,Fitbit App
2025-09-04T09:54:48Z,9.39,Fitbit App
2025-09-04T09:55:48Z,12.08,Fitbit App
2025-09-04T09:56:48Z,2.68,Fitbit App
2025-09-04T10:00:48Z,5.37,Fitbit App
2025-09-04T10:01:48Z,16.10,Fitbit App
2025-09-04T10:03:48Z,0.67,Fitbit App
2025-09-04T10:04:48Z,19.46,Fitbit App
2025-09-04T10:06:48Z,0.67,Fitbit App
2025-09-04T10:07:48Z,10.74,Fitbit App
2025-09-04T10:08:48Z,0.67,Fitbit App
2025-09-04T10:09:48Z,22.14,Fitbit App
2025-09-04T10:10:48Z,2.01,Fitbit App
2025-09-04T10:25:48Z,0.67,Fitbit App
2025-09-04T10:26:48Z,20.80,Fitbit App
2025-09-04T10:28:48Z,8.05,Fitbit App
2025-09-04T10:30:48Z,1.34,Fitbit App
2025-09-04T10:31:48Z,27.51,Fitbit App
2025-09-04T10:33:48Z,9.39,Fitbit App
2025-09-04T10:34:48Z,6.71,Fitbit App
2025-09-04T10:37:48Z,0.67,Fitbit App
2025-09-04T10:38:48Z,8.05,Fitbit App
2025-09-04T10:39:48Z,8.72,Fitbit App
2025-09-04T10:40:48Z,4.70,Fitbit App
2025-09-04T11:41:48Z,0.67,Fitbit App
2025-09-04T11:42:48Z,32.21,Fitbit App
2025-09-04T11:43:48Z,24.83,Fitbit App
2025-09-04T11:44:48Z,1.34,Fitbit App
2025-09-04T11:45:48Z,61.49,Fitbit App
2025-09-04T11:46:48Z,14.76,Fitbit App
2025-09-04T11:47:48Z,68.41,Fitbit App
2025-09-04T11:48:48Z,82.27,Fitbit App
2025-09-04T11:49:48Z,84.00,Fitbit App
2025-09-04T11:50:48Z,84.00,Fitbit App
2025-09-04T11:51:48Z,84.87,Fitbit App
2025-09-04T11:52:48Z,84.87,Fitbit App
2025-09-04T11:53:48Z,83.14,Fitbit App
2025-09-04T11:54:48Z,83.14,Fitbit App
2025-09-04T11:55:48Z,81.40,Fitbit App
2025-09-04T11:56:48Z,73.61,Fitbit App
2025-09-04T11:57:48Z,74.48,Fitbit App
2025-09-04T11:58:48Z,88.33,Fitbit App
2025-09-04T11:59:48Z,91.80,Fitbit App
2025-09-04T12:00:48Z,20.13,Fitbit App
2025-09-04T12:01:48Z,78.81,Fitbit App
2025-09-04T12:02:48Z,41.60,Fitbit App
2025-09-04T12:03:48Z,25.50,Fitbit App
2025-09-04T12:04:48Z,18.79,Fitbit App
2025-09-04T12:11:48Z,1.34,Fitbit App
2025-09-04T12:12:48Z,62.35,Fitbit App
2025-09-04T12:13:48Z,84.87,Fitbit App
2025-09-04T12:14:48Z,4.03,Fitbit App
2025-09-04T14:55:48Z,0.67,Fitbit App
2025-09-04T14:56:48Z,34.22,Fitbit App
2025-09-04T14:57:48Z,44.96,Fitbit App
2025-09-04T15:07:48Z,0.67,Fitbit App
2025-09-04T15:08:48Z,8.72,Fitbit App
2025-09-04T15:15:48Z,1.34,Fitbit App
2025-09-04T15:16:48Z,32.88,Fitbit App
2025-09-04T15:17:48Z,79.67,Fitbit App
2025-09-05T03:02:48Z,0.67,Fitbit App
2025-09-05T03:03:48Z,34.22,Fitbit App
2025-09-05T03:04:48Z,62.35,Fitbit App
2025-09-05T03:05:48Z,10.74,Fitbit App
2025-09-05T03:12:48Z,8.05,Fitbit App
2025-09-05T03:13:48Z,28.85,Fitbit App
2025-09-05T03:14:48Z,76.21,Fitbit App
2025-09-05T11:09:48Z,0.67,Fitbit App
2025-09-05T11:10:48Z,19.46,Fitbit App
2025-09-05T11:11:48Z,44.96,Fitbit App
2025-09-05T11:12:48Z,71.01,Fitbit App
2025-09-05T11:13:48Z,20.13,Fitbit App
2025-09-05T11:17:48Z,1.34,Fitbit App
2025-09-05T11:18:48Z,59.75,Fitbit App
2025-09-05T11:19:48Z,77.07,Fitbit App
2025-09-05T11:20:48Z,78.81,Fitbit App
2025-09-05T11:21:48Z,75.34,Fitbit App
2025-09-05T11:22:48Z,74.48,Fitbit App
2025-09-05T11:23:48Z,80.54,Fitbit App
2025-09-05T11:24:48Z,77.07,Fitbit App
2025-09-05T11:25:48Z,81.40,Fitbit App
2025-09-05T11:26:48Z,78.81,Fitbit App
2025-09-05T11:27:48Z,76.21,Fitbit App
2025-09-05T11:28:48Z,74.48,Fitbit App
2025-09-05T11:29:48Z,73.61,Fitbit App
2025-09-05T11:30:48Z,66.68,Fitbit App
2025-09-05T11:31:48Z,75.34,Fitbit App
2025-09-05T11:32:48Z,45.63,Fitbit App
2025-09-05T11:33:48Z,36.23,Fitbit App
2025-09-05T11:34:48Z,20.13,Fitbit App
2025-09-05T15:12:48Z,0.67,Fitbit App
2025-09-05T15:13:48Z,40.26,Fitbit App
2025-09-05T15:14:48Z,44.29,Fitbit App
2025-09-05T15:15:48Z,7.38,Fitbit App
2025-09-05T15:16:48Z,0.67,Fitbit App
2025-09-05T15:17:48Z,18.12,Fitbit App
2025-09-05T15:32:48Z,0.67,Fitbit App
2025-09-05T15:33:48Z,31.54,Fitbit App
2025-09-05T15:34:48Z,42.27,Fitbit App
2025-09-05T15:35:48Z,77.07,Fitbit App
2025-09-05T19:14:48Z,1.34,Fitbit App
2025-09-05T19:15:48Z,7.38,Fitbit App
2025-09-06T00:25:48Z,8.05,Fitbit App
2025-09-06T03:00:48Z,9.39,Fitbit App
2025-09-06T10:07:48Z,16.78,Fitbit App
2025-09-06T10:08:48Z,85.73,Fitbit App
2025-09-06T10:09:48Z,82.27,Fitbit App
2025-09-06T10:10:48Z,8.05,Fitbit App
2025-09-06T10:11:48Z,18.79,Fitbit App
2025-09-06T10:12:48Z,1.34,Fitbit App
2025-09-06T10:13:48Z,77.07,Fitbit App
2025-09-06T10:14:48Z,89.20,Fitbit App
2025-09-06T10:15:48Z,32.21,Fitbit App
2025-09-06T10:59:48Z,0.67,Fitbit App
2025-09-06T11:00:48Z,29.52,Fitbit App
2025-09-06T11:01:48Z,77.94,Fitbit App
2025-09-06T11:02:48Z,71.01,Fitbit App
2025-09-06T11:03:48Z,29.52,Fitbit App
2025-09-06T11:04:48Z,10.07,Fitbit App
2025-09-06T11:11:48Z,1.34,Fitbit App
2025-09-06T11:12:48Z,32.21,Fitbit App
2025-09-06T11:13:48Z,78.81,Fitbit App
2025-09-06T11:14:48Z,78.81,Fitbit App
2025-09-06T11:15:48Z,62.35,Fitbit App
2025-09-06T15:02:48Z,0.67,Fitbit App
2025-09-06T15:03:48Z,32.21,Fitbit App
2025-09-06T15:04:48Z,63.22,Fitbit App
2025-09-06T15:05:48Z,3.36,Fitbit App
2025-09-06T15:06:48Z,7.38,Fitbit App
2025-09-06T15:14:48Z,5.37,Fitbit App
2025-09-06T15:15:48Z,15.43,Fitbit App
2025-09-06T15:30:48Z,1.34,Fitbit App
2025-09-06T15:31:48Z,59.75,Fitbit App
2025-09-06T15:32:48Z,34.22,Fitbit App
2025-09-07T08:15:48Z,18.12,Fitbit App
2025-09-07T08:16:48Z,82.27,Fitbit App
2025-09-07T08:17:48Z,24.83,Fitbit App
2025-09-07T08:19:48Z,8.72,Fitbit App
2025-09-07T08:20:48Z,31.54,Fitbit App
2025-09-07T08:42:48Z,4.03,Fitbit App
2025-09-07T08:43:48Z,44.29,Fitbit App
2025-09-07T08:44:48Z,62.35,Fitbit App
2025-09-07T08:45:48Z,38.92,Fitbit App
2025-09-07T10:27:48Z,2.01,Fitbit App
2025-09-07T10:28:48Z,4.70,Fitbit App
2025-09-07T11:04:48Z,2.01,Fitbit App
2025-09-07T11:05:48Z,83.14,Fitbit App
2025-09-07T11:06:48Z,62.35,Fitbit App
2025-09-07T11:07:48Z,23.49,Fitbit App
2025-09-07T11:12:48Z,0.67,Fitbit App
2025-09-07T11:13:48Z,16.78,Fitbit App
2025-09-07T11:14:48Z,60.62,Fitbit App
2025-09-07T11:15:48Z,78.81,Fitbit App
2025-09-07T11:16:48Z,73.61,Fitbit App
2025-09-07T11:17:48Z,71.88,Fitbit App
2025-09-07T11:18:48Z,71.88,Fitbit App
2025-09-07T11:19:48Z,70.15,Fitbit App
2025-09-07T11:20:48Z,67.55,Fitbit App
2025-09-07T11:21:48Z,72.74,Fitbit App
2025-09-07T11:22:48Z,70.15,Fitbit App
2025-09-07T11:23:48Z,71.88,Fitbit App
2025-09-07T11:24:48Z,67.55,Fitbit App
2025-09-07T11:25:48Z,71.88,Fitbit App
2025-09-07T11:26:48Z,75.34,Fitbit App
2025-09-07T11:27:48Z,73.61,Fitbit App
2025-09-07T11:28:48Z,71.01,Fitbit App
2025-09-07T11:29:48Z,71.88,Fitbit App
2025-09-07T11:30:48Z,81.40,Fitbit App
2025-09-07T11:31:48Z,75.34,Fitbit App
2025-09-07T11:32:48Z,72.74,Fitbit App
2025-09-07T11:33:48Z,71.88,Fitbit App
2025-09-07T11:34:48Z,71.01,Fitbit App
2025-09-07T11:35:48Z,70.15,Fitbit App
2025-09-07T11:36:48Z,33.55,Fitbit App
2025-09-07T11:37:48Z,10.74,Fitbit App
2025-09-07T11:42:48Z,0.67,Fitbit App
2025-09-07T11:43:48Z,6.04,Fitbit App
2025-09-07T11:50:48Z,0.67,Fitbit App
2025-09-07T11:51:48Z,7.38,Fitbit App
2025-09-07T11:54:48Z,1.34,Fitbit App
2025-09-07T11:55:48Z,60.62,Fitbit App
2025-09-07T11:56:48Z,2.68,Fitbit App
2025-09-07T14:56:48Z,1.34,Fitbit App
2025-09-07T14:57:48Z,65.82,Fitbit App
2025-09-07T14:58:48Z,26.84,Fitbit App
2025-09-07T14:59:48Z,1.34,Fitbit App
2025-09-07T15:00:48Z,5.37,Fitbit App
2025-09-07T15:07:48Z,0.67,Fitbit App
2025-09-07T15:08:48Z,32.21,Fitbit App
2025-09-07T15:09:48Z,65.82,Fitbit App
2025-09-07T15:10:48Z,13.42,Fitbit App
2025-09-07T19:41:48Z,16.10,Fitbit App
2025-09-07T19:42:48Z,91.80,Fitbit App
2025-09-07T19:43:48Z,84.87,Fitbit App
2025-09-07T19:44:48Z,7.38,Fitbit App
2025-09-07T19:45:48Z,67.55,Fitbit App
2025-09-07T19:46:48Z,90.06,Fitbit App
2025-09-07T19:47:48Z,32.88,Fitbit App
2025-09-07T19:48:48Z,14.76,Fitbit App
2025-09-08T10:40:48Z,11.41,Fitbit App
2025-09-08T10:41:48Z,79.67,Fitbit App
2025-09-08T10:45:48Z,2.01,Fitbit App
2025-09-08T10:46:48Z,71.01,Fitbit App
2025-09-08T10:47:48Z,8.72,Fitbit App
2025-09-08T11:02:48Z,1.34,Fitbit App
2025-09-08T11:03:48Z,80.54,Fitbit App
2025-09-08T11:04:48Z,7.38,Fitbit App
2025-09-08T11:06:48Z,0.67,Fitbit App
2025-09-08T11:07:48Z,29.52,Fitbit App
2025-09-08T11:08:48Z,74.48,Fitbit App
2025-09-08T11:09:48Z,77.07,Fitbit App
2025-09-08T11:10:48Z,65.82,Fitbit App
2025-09-08T11:11:48Z,30.20,Fitbit App
2025-09-08T11:19:48Z,0.67,Fitbit App
2025-09-08T11:20:48Z,76.21,Fitbit App
2025-09-08T11:21:48Z,85.73,Fitbit App
2025-09-08T11:28:48Z,4.03,Fitbit App
2025-09-08T11:29:48Z,30.20,Fitbit App
2025-09-08T11:30:48Z,45.63,Fitbit App
2025-09-08T11:31:48Z,28.18,Fitbit App
2025-09-08T11:32:48Z,28.85,Fitbit App
2025-09-08T11:33:48Z,20.13,Fitbit App
2025-09-08T11:34:48Z,14.76,Fitbit App
2025-09-08T11:35:48Z,59.75,Fitbit App
2025-09-08T11:36:48Z,69.28,Fitbit App
2025-09-08T11:37:48Z,32.88,Fitbit App
2025-09-08T11:38:48Z,35.56,Fitbit App
2025-09-08T11:39:48Z,29.52,Fitbit App
2025-09-08T11:40:48Z,42.27,Fitbit App
2025-09-08T11:41:48Z,9.39,Fitbit App
2025-09-08T11:42:48Z,37.58,Fitbit App
2025-09-08T11:43:48Z,19.46,Fitbit App
2025-09-08T11:44:48Z,24.83,Fitbit App
2025-09-08T11:45:48Z,71.01,Fitbit App
2025-09-08T11:46:48Z,23.49,Fitbit App
2025-09-08T11:47:48Z,1.34,Fitbit App
2025-09-08T11:48:48Z,40.93,Fitbit App
2025-09-08T11:49:48Z,86.60,Fitbit App
2025-09-08T11:50:48Z,86.60,Fitbit App
2025-09-08T11:51:48Z,89.20,Fitbit App
2025-09-08T11:52:48Z,79.67,Fitbit App
2025-09-08T11:53:48Z,35.56,Fitbit App
2025-09-08T11:54:48Z,96.13,Fitbit App
2025-09-08T11:55:48Z,10.07,Fitbit App
2025-09-08T11:59:48Z,0.67,Fitbit App
2025-09-08T12:00:48Z,30.20,Fitbit App
2025-09-08T12:01:48Z,39.59,Fitbit App
2025-09-08T12:02:48Z,42.27,Fitbit App
2025-09-08T12:03:48Z,23.49,Fitbit App
2025-09-08T12:04:48Z,22.14,Fitbit App
2025-09-08T12:05:48Z,4.03,Fitbit App
2025-09-08T12:06:48Z,33.55,Fitbit App
2025-09-08T12:07:48Z,40.93,Fitbit App
2025-09-08T12:08:48Z,18.79,Fitbit App
2025-09-08T12:09:48Z,88.33,Fitbit App
2025-09-08T12:10:48Z,6.71,Fitbit App
2025-09-08T12:12:48Z,0.67,Fitbit App
2025-09-08T12:13:48Z,18.12,Fitbit App
2025-09-08T12:14:48Z,6.71,Fitbit App
2025-09-08T12:15:48Z,18.79,Fitbit App
2025-09-08T14:57:48Z,16.10,Fitbit App
2025-09-08T14:58:48Z,74.48,Fitbit App
2025-09-08T14:59:48Z,36.23,Fitbit App
2025-09-08T15:00:48Z,19.46,Fitbit App
2025-09-08T15:01:48Z,18.79,Fitbit App
2025-09-08T15:10:48Z,0.67,Fitbit App
2025-09-08T15:11:48Z,40.93,Fitbit App
2025-09-08T15:12:48Z,37.58,Fitbit App
2025-09-08T15:13:48Z,40.93,Fitbit App
2025-09-08T15:14:48Z,7.38,Fitbit App
2025-09-08T19:51:48Z,0.67,Fitbit App
2025-09-08T19:52:48Z,88.33,Fitbit App
2025-09-08T19:53:48Z,96.99,Fitbit App
2025-09-08T19:54:48Z,59.75,Fitbit App
2025-09-08T19:55:48Z,30.20,Fitbit App
2025-09-08T19:56:48Z,96.99,Fitbit App
2025-09-08T19:57:48Z,90.06,Fitbit App
2025-09-08T19:58:48Z,18.12,Fitbit App
2025-09-08T19:59:12Z,24.16,Fitbit App
2025-09-09T00:33:12Z,0.67,Fitbit App
2025-09-09T00:34:12Z,6.04,Fitbit App
2025-09-09T08:06:12Z,0.67,Fitbit App
2025-09-09T08:07:12Z,73.61,Fitbit App
2025-09-09T08:08:12Z,75.34,Fitbit App
2025-09-09T08:09:12Z,0.67,Fitbit App
2025-09-09T08:10:12Z,0.67,Fitbit App
2025-09-09T08:11:12Z,22.14,Fitbit App
2025-09-09T08:29:12Z,1.34,Fitbit App
2025-09-09T08:30:12Z,63.22,Fitbit App
2025-09-09T08:31:12Z,38.92,Fitbit App
2025-09-09T08:32:12Z,62.35,Fitbit App
2025-09-09T11:08:12Z,14.09,Fitbit App
2025-09-09T11:09:12Z,86.60,Fitbit App
2025-09-09T11:10:12Z,40.93,Fitbit App
2025-09-09T11:11:12Z,7.38,Fitbit App
2025-09-09T11:18:12Z,1.34,Fitbit App
2025-09-09T11:19:12Z,27.51,Fitbit App
2025-09-09T11:20:12Z,80.54,Fitbit App
2025-09-09T11:21:12Z,30.20,Fitbit App
2025-09-09T11:22:12Z,84.00,Fitbit App
2025-09-09T11:23:12Z,69.28,Fitbit App
2025-09-09T11:24:12Z,38.92,Fitbit App
2025-09-09T11:25:12Z,2.01,Fitbit App
2025-09-09T11:26:12Z,86.60,Fitbit App
2025-09-09T11:27:12Z,71.01,Fitbit App
2025-09-09T11:28:12Z,23.49,Fitbit App
2025-09-09T11:29:12Z,64.95,Fitbit App
2025-09-09T11:30:12Z,41.60,Fitbit App
2025-09-09T11:31:12Z,40.26,Fitbit App
2025-09-09T11:32:12Z,72.74,Fitbit App
2025-09-09T11:33:12Z,90.06,Fitbit App
2025-09-09T11:34:12Z,91.80,Fitbit App
2025-09-09T11:35:12Z,80.54,Fitbit App
2025-09-09T11:36:12Z,67.55,Fitbit App
2025-09-09T11:37:12Z,26.84,Fitbit App
2025-09-09T11:38:12Z,86.60,Fitbit App
2025-09-09T12:38:12Z,0.67,Fitbit App
2025-09-09T12:39:12Z,21.47,Fitbit App
2025-09-09T12:40:12Z,63.22,Fitbit App
2025-09-09T12:41:12Z,74.48,Fitbit App
2025-09-09T12:42:12Z,84.00,Fitbit App
2025-09-09T12:43:12Z,90.06,Fitbit App
2025-09-09T12:44:12Z,88.33,Fitbit App
