timestamp,level,data source
2025-11-18T03:17:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T03:18:04Z,VERY_ACTIVE,Fitbit App
2025-11-18T03:19:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T08:15:04Z,SEDENTARY,Fitbit App
2025-11-18T08:16:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T08:17:04Z,VERY_ACTIVE,Fitbit App
2025-11-18T08:18:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T08:19:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T08:20:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T08:21:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T08:22:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T08:38:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T08:39:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T08:40:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T08:41:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T10:59:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T11:00:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T11:01:04Z,VERY_ACTIVE,Fitbit App
2025-11-18T11:02:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T11:04:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T11:05:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T11:06:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T11:07:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T11:08:04Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T11:09:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T11:10:04Z,VERY_ACTIVE,Fitbit App
2025-11-18T11:11:04Z,VERY_ACTIVE,Fitbit App
2025-11-18T11:12:04Z,VERY_ACTIVE,Fitbit App
2025-11-18T11:13:04Z,VERY_ACTIVE,Fitbit App
2025-11-18T11:14:04Z,VERY_ACTIVE,Fitbit App
2025-11-18T11:15:04Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T11:16:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T11:17:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T11:18:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T11:19:40Z,VERY_ACTIVE,Fitbit App
2025-11-18T11:20:40Z,VERY_ACTIVE,Fitbit App
2025-11-18T11:21:40Z,VERY_ACTIVE,Fitbit App
2025-11-18T11:22:40Z,VERY_ACTIVE,Fitbit App
2025-11-18T11:23:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T11:24:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T11:25:40Z,VERY_ACTIVE,Fitbit App
2025-11-18T11:26:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T11:27:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T11:33:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T11:34:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T11:35:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T11:36:40Z,VERY_ACTIVE,Fitbit App
2025-11-18T11:37:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T11:38:40Z,VERY_ACTIVE,Fitbit App
2025-11-18T11:39:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T11:40:40Z,VERY_ACTIVE,Fitbit App
2025-11-18T11:41:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T14:41:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T14:42:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T14:51:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T14:52:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T14:53:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T14:54:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T14:55:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T15:05:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T15:06:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T15:07:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T15:08:40Z,VERY_ACTIVE,Fitbit App
2025-11-18T15:09:40Z,VERY_ACTIVE,Fitbit App
2025-11-18T15:10:40Z,VERY_ACTIVE,Fitbit App
2025-11-18T15:11:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T15:12:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T15:13:40Z,VERY_ACTIVE,Fitbit App
2025-11-18T15:14:40Z,VERY_ACTIVE,Fitbit App
2025-11-18T15:15:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T19:32:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T19:33:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T19:34:40Z,VERY_ACTIVE,Fitbit App
2025-11-18T19:35:40Z,VERY_ACTIVE,Fitbit App
2025-11-18T19:36:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T19:37:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-18T19:38:40Z,VERY_ACTIVE,Fitbit App
2025-11-18T19:39:40Z,MODERATELY_ACTIVE,Fitbit App
2025-11-18T19:40:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-19T03:34:40Z,SEDENTARY,Fitbit App
2025-11-19T03:35:40Z,LIGHTLY_ACTIVE,Fitbit App
