timestamp,beats per minute,data source
2025-03-26T14:23:32Z,61.0,Sense
2025-03-26T14:23:47Z,64.0,Sense
2025-03-26T14:23:52Z,63.0,Sense
2025-03-26T14:23:57Z,62.0,Sense
2025-03-26T14:24:02Z,61.0,Sense
2025-03-26T14:24:07Z,60.0,Sense
2025-03-26T14:24:12Z,60.0,Sense
2025-03-26T14:24:17Z,61.0,Sense
2025-03-26T14:24:22Z,64.0,Sense
2025-03-26T14:24:27Z,68.0,Sense
2025-03-26T14:24:32Z,69.0,Sense
2025-03-26T14:24:37Z,68.0,Sense
2025-03-26T14:24:42Z,65.0,Sense
2025-03-26T14:24:52Z,69.0,Sense
2025-03-26T14:24:57Z,70.0,Sense
2025-03-26T14:25:02Z,69.0,Sense
2025-03-26T14:25:07Z,70.0,Sense
2025-03-26T14:25:22Z,70.0,Sense
2025-03-26T14:25:37Z,68.0,Sense
2025-03-26T14:25:42Z,66.0,Sense
2025-03-26T14:25:47Z,67.0,Sense
2025-03-26T14:25:52Z,69.0,Sense
2025-03-26T14:25:57Z,70.0,Sense
2025-03-26T14:26:02Z,71.0,Sense
2025-03-26T14:26:07Z,74.0,Sense
2025-03-26T14:26:12Z,78.0,Sense
2025-03-26T14:26:21Z,80.0,Sense
2025-03-26T14:26:31Z,78.0,Sense
2025-03-26T14:26:36Z,77.0,Sense
2025-03-26T14:26:41Z,74.0,Sense
2025-03-26T14:26:51Z,70.0,Sense
2025-03-26T14:26:56Z,67.0,Sense
2025-03-26T14:27:01Z,71.0,Sense
2025-03-26T14:27:06Z,74.0,Sense
2025-03-26T14:27:11Z,72.0,Sense
2025-03-26T14:27:16Z,71.0,Sense
2025-03-26T14:27:21Z,73.0,Sense
2025-03-26T14:27:26Z,76.0,Sense
2025-03-26T15:02:45Z,68.0,Sense
2025-03-26T15:02:50Z,67.0,Sense
2025-03-26T15:02:55Z,69.0,Sense
2025-03-26T15:03:00Z,70.0,Sense
2025-03-26T15:03:10Z,73.0,Sense
2025-03-26T15:03:15Z,78.0,Sense
2025-03-26T15:03:20Z,83.0,Sense
2025-03-26T15:03:25Z,81.0,Sense
2025-03-26T15:03:30Z,80.0,Sense
2025-03-26T15:03:35Z,79.0,Sense
2025-03-26T15:03:45Z,78.0,Sense
2025-03-26T15:03:50Z,79.0,Sense
2025-03-26T15:03:55Z,81.0,Sense
2025-03-26T15:04:00Z,83.0,Sense
2025-03-26T15:04:05Z,81.0,Sense
2025-03-26T15:04:15Z,80.0,Sense
2025-03-26T15:04:20Z,79.0,Sense
2025-03-26T15:04:25Z,77.0,Sense
2025-03-26T15:04:30Z,80.0,Sense
2025-03-26T15:04:35Z,79.0,Sense
2025-03-26T15:04:40Z,77.0,Sense
2025-03-26T15:04:45Z,77.0,Sense
2025-03-26T15:04:50Z,78.0,Sense
2025-03-26T15:04:55Z,79.0,Sense
2025-03-26T15:05:05Z,81.0,Sense
2025-03-26T15:05:10Z,80.0,Sense
2025-03-26T15:05:20Z,79.0,Sense
2025-03-26T15:05:25Z,81.0,Sense
2025-03-26T15:05:30Z,82.0,Sense
2025-03-26T15:05:40Z,80.0,Sense
2025-03-26T15:05:45Z,84.0,Sense
2025-03-26T15:05:50Z,86.0,Sense
2025-03-26T15:05:55Z,87.0,Sense
2025-03-26T15:06:00Z,89.0,Sense
2025-03-26T15:06:05Z,87.0,Sense
2025-03-26T15:06:10Z,88.0,Sense
2025-03-26T15:06:15Z,83.0,Sense
2025-03-26T15:06:20Z,81.0,Sense
2025-03-26T15:06:25Z,78.0,Sense
2025-03-26T15:06:30Z,78.0,Sense
2025-03-26T15:06:35Z,78.0,Sense
2025-03-26T15:06:45Z,79.0,Sense
2025-03-26T15:06:55Z,80.0,Sense
2025-03-26T15:07:00Z,78.0,Sense
2025-03-26T15:07:05Z,75.0,Sense
2025-03-26T15:07:10Z,74.0,Sense
2025-03-26T15:07:20Z,73.0,Sense
2025-03-26T15:07:25Z,71.0,Sense
2025-03-26T15:07:30Z,71.0,Sense
2025-03-26T15:07:35Z,72.0,Sense
2025-03-26T15:07:40Z,76.0,Sense
2025-03-26T15:07:45Z,81.0,Sense
2025-03-26T15:07:50Z,84.0,Sense
