timestamp,heart rate zone type,data source
2025-12-23T09:04:00Z,LIGHT,Fitbit App
2025-12-23T09:05:00Z,LIGHT,Fitbit App
2025-12-23T09:06:00Z,LIGHT,Fitbit App
2025-12-23T09:07:00Z,LIGHT,Fitbit App
2025-12-23T09:08:00Z,LIGHT,Fitbit App
2025-12-23T09:09:00Z,LIGHT,Fitbit App
2025-12-23T09:10:00Z,LIGHT,Fitbit App
2025-12-23T09:11:00Z,LIGHT,Fitbit App
2025-12-23T09:12:00Z,LIGHT,Fitbit App
2025-12-23T09:13:00Z,LIGHT,Fitbit App
2025-12-23T09:14:00Z,LIGHT,Fitbit App
2025-12-23T09:15:00Z,LIGHT,Fitbit App
2025-12-23T09:16:00Z,LIGHT,Fitbit App
2025-12-23T09:17:00Z,LIGHT,Fitbit App
2025-12-23T09:18:00Z,LIGHT,Fitbit App
2025-12-23T09:19:00Z,LIGHT,Fitbit App
2025-12-23T09:20:00Z,LIGHT,Fitbit App
2025-12-23T09:21:00Z,MODERATE,Fitbit App
2025-12-23T09:22:00Z,MODERATE,Fitbit App
2025-12-23T09:23:00Z,LIGHT,Fitbit App
2025-12-23T09:24:00Z,LIGHT,Fitbit App
2025-12-23T09:25:00Z,LIGHT,Fitbit App
2025-12-23T09:26:00Z,LIGHT,Fitbit App
2025-12-23T09:27:00Z,LIGHT,Fitbit App
2025-12-23T09:28:00Z,LIGHT,Fitbit App
2025-12-23T09:29:00Z,LIGHT,Fitbit App
2025-12-23T09:30:00Z,LIGHT,Fitbit App
2025-12-23T09:31:00Z,LIGHT,Fitbit App
2025-12-23T09:32:00Z,LIGHT,Fitbit App
2025-12-23T09:33:00Z,LIGHT,Fitbit App
2025-12-23T09:34:00Z,LIGHT,Fitbit App
2025-12-23T09:35:00Z,LIGHT,Fitbit App
2025-12-23T09:36:00Z,LIGHT,Fitbit App
2025-12-23T09:37:00Z,LIGHT,Fitbit App
2025-12-23T09:38:00Z,MODERATE,Fitbit App
2025-12-23T09:39:00Z,MODERATE,Fitbit App
2025-12-23T09:40:00Z,MODERATE,Fitbit App
2025-12-23T09:41:00Z,MODERATE,Fitbit App
2025-12-23T09:42:00Z,MODERATE,Fitbit App
2025-12-23T09:43:00Z,MODERATE,Fitbit App
2025-12-23T09:44:00Z,LIGHT,Fitbit App
2025-12-23T09:45:00Z,LIGHT,Fitbit App
2025-12-23T09:46:00Z,MODERATE,Fitbit App
2025-12-23T09:47:00Z,MODERATE,Fitbit App
2025-12-23T09:48:00Z,MODERATE,Fitbit App
2025-12-23T09:49:00Z,MODERATE,Fitbit App
2025-12-23T09:50:00Z,MODERATE,Fitbit App
2025-12-23T09:51:00Z,MODERATE,Fitbit App
2025-12-23T09:52:00Z,LIGHT,Fitbit App
2025-12-23T09:53:00Z,MODERATE,Fitbit App
2025-12-23T09:54:00Z,MODERATE,Fitbit App
2025-12-23T09:55:00Z,LIGHT,Fitbit App
2025-12-23T09:56:00Z,LIGHT,Fitbit App
2025-12-23T09:57:00Z,MODERATE,Fitbit App
2025-12-23T09:58:00Z,LIGHT,Fitbit App
2025-12-23T09:59:00Z,MODERATE,Fitbit App
2025-12-23T10:00:00Z,LIGHT,Fitbit App
2025-12-23T10:01:00Z,LIGHT,Fitbit App
2025-12-23T10:02:00Z,MODERATE,Fitbit App
2025-12-23T10:03:00Z,MODERATE,Fitbit App
2025-12-23T10:04:00Z,MODERATE,Fitbit App
2025-12-23T10:05:00Z,LIGHT,Fitbit App
2025-12-23T10:06:00Z,LIGHT,Fitbit App
2025-12-23T10:07:00Z,LIGHT,Fitbit App
2025-12-23T10:08:00Z,LIGHT,Fitbit App
2025-12-23T10:09:00Z,LIGHT,Fitbit App
2025-12-23T10:10:00Z,LIGHT,Fitbit App
2025-12-23T10:11:00Z,LIGHT,Fitbit App
2025-12-23T10:12:00Z,MODERATE,Fitbit App
2025-12-23T10:13:00Z,MODERATE,Fitbit App
2025-12-23T10:14:00Z,MODERATE,Fitbit App
2025-12-23T10:15:00Z,MODERATE,Fitbit App
2025-12-23T10:16:00Z,MODERATE,Fitbit App
2025-12-23T10:17:00Z,MODERATE,Fitbit App
2025-12-23T10:18:00Z,MODERATE,Fitbit App
2025-12-23T10:19:00Z,MODERATE,Fitbit App
2025-12-23T10:20:00Z,MODERATE,Fitbit App
2025-12-23T10:21:00Z,LIGHT,Fitbit App
